difficulty-btc-trx-90,mining_profitability-btc-sma-30,mining_profitability-btc-trx-90,sentinusd-btc-sma-90,marketcap-btc-trx-90,transactionvalue-btc-sma-14,transactionvalue-btc-sma-90,mediantransactionvalue-btc-sma-90,fee_to_reward-btc-sma-90,fee_to_reward-btc-ema-90,fee_to_reward-btc-std-90,fee_to_reward-btc-var-90,size-btc-sma-7,size-btc-sma-90,size-btc-wma-7,size-btc-std-30,size-btc-std-90,size-btc-var-30,size-btc-var-90,top100cap-btc-sma-90,top100cap-btc-std-90,top100cap-btc-trx-90
2.15,256.663,-0.94,747352754,1.449,7570,11950,279.117,0.537,0.465,1.142,0.326,183566,181375,187182,52012,75737,676322941,1434024951,21.406,0.514,0.039
2.145,251.406,-0.94,749708487,1.433,7535,11974,280.563,0.535,0.462,1.143,0.327,183083,182063,183158,45859,74078,525761655,1371880875,21.414,0.497,0.039
2.14,250.257,-0.941,752560647,1.417,7623,12013,281.259,0.529,0.457,1.143,0.326,180995,182591,175271,44083,72503,485831391,1314169149,21.422,0.483,0.039
2.134,246.58,-0.941,754865832,1.401,7461,12043,280.991,0.519,0.452,1.139,0.324,178208,183018,169638,43308,71470,468901814,1276997386,21.425,0.484,0.039
2.128,243.305,-0.941,756469234,1.385,7208,12063,280.252,0.51,0.448,1.134,0.321,177270,183286,170275,43145,71253,465370633,1269244967,21.427,0.485,0.039
2.122,237.643,-0.942,760904451,1.369,7359,12120,279.87,0.476,0.445,0.946,0.224,178029,183686,181221,46824,71691,548125486,1284899115,21.431,0.49,0.038
2.115,231.767,-0.942,763649700,1.353,7596,12162,278.908,0.441,0.443,0.705,0.124,182088,183702,191929,48802,71725,595410990,1286111345,21.429,0.492,0.038
2.11,227.085,-0.943,766109048,1.337,7648,12181,277.652,0.41,0.44,0.425,0.045,187155,183483,198892,50611,71279,640376192,1270181291,21.426,0.494,0.038
2.104,221.054,-0.943,769630915,1.321,7642,12221,276.634,0.398,0.439,0.357,0.032,198241,183989,213374,56350,72366,793837409,1309215510,21.423,0.497,0.038
2.099,214.725,-0.944,771560537,1.305,7586,12244,277.078,0.389,0.436,0.329,0.027,203276,184130,210507,54947,72337,754798309,1308174088,21.42,0.499,0.038
2.094,209.138,-0.945,772927765,1.288,7579,12267,277.697,0.378,0.433,0.264,0.017,210700,184795,212296,54862,72193,752468288,1302961214,21.418,0.501,0.038
2.089,202.795,-0.945,774924316,1.271,7355,12283,278.246,0.377,0.431,0.263,0.017,214956,185562,212258,53843,71802,724764684,1288896499,21.414,0.505,0.038
2.083,195.774,-0.946,775381367,1.254,7319,12281,278.439,0.374,0.428,0.261,0.017,211841,185720,208332,49925,71860,623115293,1290950473,21.412,0.508,0.038
2.078,193.326,-0.947,775188323,1.237,7325,12279,277.968,0.373,0.427,0.26,0.017,216121,186467,218077,54717,73142,748498610,1337431411,21.41,0.511,0.037
2.072,188.985,-0.948,768183842,1.219,7256,12150,277.621,0.371,0.424,0.26,0.017,217222,186935,218457,55511,73395,770364013,1346701067,21.408,0.513,0.037
2.065,183.858,-0.949,765826774,1.202,7290,12064,276.455,0.372,0.423,0.259,0.017,214305,188127,220317,55987,72314,783626831,1307327693,21.406,0.515,0.037
2.058,179.966,-0.95,766591496,1.184,7551,12064,275.386,0.371,0.419,0.26,0.017,213344,188570,211754,54904,71619,753624172,1282308814,21.404,0.518,0.037
2.051,177.131,-0.951,759569085,1.165,7484,11972,270.853,0.366,0.415,0.253,0.016,204060,187351,194779,57389,70774,823376205,1252251021,21.402,0.52,0.036
2.044,171.631,-0.952,749319287,1.147,7369,11867,265.751,0.364,0.419,0.242,0.015,204935,186287,197931,55496,65935,769952957,1086845454,21.399,0.521,0.036
2.038,167.464,-0.953,743668388,1.129,7054,11798,262.739,0.361,0.417,0.237,0.014,208685,186202,203074,53413,65711,713238508,1079498941,21.399,0.521,0.036
2.032,161.932,-0.954,733051800,1.111,6658,11636,260.512,0.356,0.415,0.225,0.013,202240,185443,202329,53358,63169,711763528,997592097,21.398,0.521,0.036
2.026,157.813,-0.955,719308712,1.092,6462,11453,258.374,0.354,0.413,0.222,0.012,203494,185438,208373,53790,63155,723339097,997135243,21.39,0.501,0.035
2.02,151.998,-0.956,710465181,1.074,6111,11324,256.941,0.352,0.412,0.22,0.012,207889,185950,221358,56938,64651,810483347,1044943871,21.386,0.495,0.035
2.014,148.085,-0.958,701489297,1.055,5944,11172,256.331,0.351,0.409,0.22,0.012,208580,185967,215608,56955,64649,810976080,1044882020,21.382,0.488,0.035
2.008,144.139,-0.959,692927303,1.037,5805,11055,255.848,0.349,0.406,0.22,0.012,217863,186191,216068,56081,64847,786267060,1051275601,21.379,0.484,0.035
2.001,141.031,-0.96,662631880,1.018,5674,10688,253.253,0.346,0.404,0.211,0.011,219177,185909,218070,55272,63924,763761332,1021579438,21.374,0.481,0.034
1.995,137.153,-0.962,636781017,1.0,5674,10421,248.527,0.343,0.405,0.199,0.01,227186,186093,233667,61289,64923,939084699,1053763276,21.368,0.487,0.034
1.988,133.37,-0.963,607501553,0.981,5596,10118,242.918,0.339,0.403,0.186,0.009,231077,185920,235106,61612,64336,949014121,1034780991,21.361,0.489,0.034
1.98,130.954,-0.965,583793730,0.963,5501,9849,237.175,0.335,0.401,0.177,0.008,228413,185451,229280,61539,63065,946749543,994300202,21.357,0.494,0.034
1.973,127.584,-0.967,566181831,0.944,5408,9603,233.301,0.334,0.4,0.175,0.008,225716,185854,231315,62147,63897,965571651,1020721734,21.352,0.5,0.033
1.967,122.823,-0.968,556314654,0.926,5172,9469,229.442,0.334,0.399,0.175,0.008,236612,186660,240176,63534,65818,1009149006,1082997892,21.347,0.506,0.033
1.96,118.793,-0.97,545283631,0.908,5087,9333,225.624,0.332,0.397,0.17,0.007,240721,186751,240819,62074,66085,963294566,1091818823,21.343,0.513,0.033
1.955,115.237,-0.971,539468552,0.89,5287,9255,223.38,0.332,0.399,0.172,0.007,255928,188384,263718,71055,72790,1262196806,1324577983,21.338,0.52,0.032
1.949,111.825,-0.973,531724832,0.873,5518,9149,220.687,0.332,0.4,0.171,0.007,266743,189767,289055,82905,80440,1718317740,1617640719,21.334,0.524,0.032
1.944,108.855,-0.975,520357384,0.856,5673,9011,215.667,0.33,0.399,0.166,0.007,273950,190269,293216,83497,82189,1742916799,1688757354,21.332,0.526,0.031
1.939,105.765,-0.977,513175200,0.839,5758,8908,212.342,0.33,0.398,0.166,0.007,279267,191115,285976,83590,82855,1746804425,1716237816,21.328,0.528,0.031
1.933,103.039,-0.978,511855927,0.823,6988,8865,208.193,0.325,0.397,0.138,0.005,281039,192051,278400,83744,83542,1753281814,1744796019,21.311,0.611,0.031
1.927,100.099,-0.98,512858766,0.807,7784,8821,206.883,0.325,0.394,0.137,0.005,273875,193057,260893,83708,82240,1751748921,1690846169,21.294,0.681,0.03
1.922,98.769,-0.982,508098354,0.791,8163,8740,205.189,0.324,0.391,0.137,0.005,268234,193359,242347,84343,82135,1778427284,1686555051,21.275,0.756,0.03
1.915,96.55,-0.984,510255128,0.776,8701,8765,203.43,0.325,0.392,0.138,0.005,260487,194319,244812,84410,84033,1781281706,1765384968,21.246,0.882,0.029
1.909,95.783,-0.986,506377238,0.76,8777,8692,201.832,0.324,0.392,0.137,0.005,245353,194935,242523,84198,84879,1772308260,1801092072,21.216,0.985,0.028
1.902,94.169,-0.987,505125212,0.746,9049,8644,200.595,0.324,0.391,0.137,0.005,239080,195702,241054,83724,85227,1752406401,1815911665,21.185,1.07,0.027
1.895,92.344,-0.989,501802694,0.731,9195,8567,198.999,0.325,0.39,0.137,0.005,240758,196586,245469,82916,86086,1718757785,1852704421,21.154,1.144,0.026
1.888,90.268,-0.991,500330818,0.717,9266,8517,197.12,0.326,0.391,0.138,0.005,248874,198126,261723,86348,88842,1864008628,1973212627,21.123,1.211,0.025
1.882,89.227,-0.993,500232479,0.703,9187,8502,195.701,0.326,0.388,0.137,0.005,245303,198282,246008,88147,88706,1942462003,1967190300,21.093,1.273,0.024
1.875,88.249,-0.995,485239182,0.689,9091,8283,193.163,0.326,0.386,0.138,0.005,240692,198146,226534,91672,88858,2100943076,1973915297,21.063,1.33,0.023
1.868,86.667,-0.997,477292380,0.676,8883,8165,191.078,0.326,0.384,0.137,0.005,231172,198620,219226,89763,88682,2014328692,1966111992,21.033,1.381,0.022
1.861,84.977,-0.999,482981208,0.662,10436,8343,188.563,0.325,0.382,0.138,0.005,220326,198302,205286,86234,88807,1859056224,1971675314,21.002,1.429,0.021
1.854,84.558,-1.001,481271603,0.649,10654,8312,186.638,0.326,0.381,0.138,0.005,217943,199129,205903,86053,88316,1851289854,1949926520,20.971,1.475,0.02
1.847,83.51,-1.003,478857379,0.636,10652,8263,185.179,0.325,0.379,0.137,0.005,212205,199501,205560,86297,88325,1861807576,1950324923,20.941,1.517,0.019
1.839,82.414,-1.004,475985241,0.624,9466,8199,184.514,0.325,0.378,0.137,0.005,201972,200171,211046,85454,88451,1825593868,1955892875,20.912,1.557,0.017
1.831,81.333,-1.006,472158231,0.611,8646,8117,183.993,0.327,0.379,0.138,0.005,210106,201070,221290,85322,88526,1819978510,1959228702,20.883,1.595,0.016
1.822,81.028,-1.008,469148050,0.599,8203,8059,183.182,0.326,0.375,0.14,0.005,206881,200808,204972,91668,89050,2100735307,1982466234,20.854,1.63,0.015
1.813,79.725,-1.01,466777520,0.587,7617,8006,182.353,0.326,0.373,0.14,0.005,207704,201364,207556,89966,88828,2023467208,1972615867,20.825,1.661,0.013
1.805,78.386,-1.012,463556724,0.574,7357,7941,180.951,0.327,0.373,0.14,0.005,217852,202144,217244,89451,89165,2000385404,1987584392,20.799,1.7,0.012
1.797,77.127,-1.014,461921682,0.563,7016,7894,179.769,0.328,0.373,0.141,0.005,220833,203005,223695,89341,89255,1995431383,1991614411,20.774,1.736,0.01
1.789,76.676,-1.016,461608119,0.551,6972,7869,178.996,0.328,0.372,0.14,0.005,224005,204033,228181,87947,88745,1933685857,1968937808,20.749,1.768,0.009
1.782,74.962,-1.018,461184150,0.539,7015,7834,178.499,0.328,0.37,0.14,0.005,221982,204503,227176,88166,88630,1943303211,1963834342,20.726,1.793,0.008
1.774,73.569,-1.02,456599741,0.527,6852,7747,178.042,0.326,0.367,0.142,0.005,211975,204483,214906,90583,88658,2051325040,1965049941,20.704,1.816,0.006
1.767,72.227,-1.022,453219596,0.515,6932,7685,176.853,0.327,0.365,0.141,0.005,224480,205120,220004,90594,88627,2051795777,1963675624,20.68,1.837,0.005
1.759,71.7,-1.024,453116817,0.504,6945,7660,176.057,0.327,0.363,0.141,0.005,223362,205842,216233,90589,87691,2051577438,1922443088,20.658,1.855,0.003
1.752,70.859,-1.027,452208591,0.492,5183,7615,175.808,0.328,0.362,0.138,0.005,219289,207096,214877,90759,85082,2059278770,1809719690,20.638,1.875,0.002
1.744,69.882,-1.029,450295460,0.48,4896,7563,174.551,0.327,0.36,0.137,0.005,212504,206909,209095,83927,85103,1760948093,1810629005,20.619,1.891,0.0005
1.736,68.208,-1.031,445931405,0.468,4850,7489,172.721,0.326,0.358,0.138,0.005,203410,206671,199749,71377,85337,1273676816,1820610730,20.6,1.908,-0.001
1.728,66.821,-1.033,443058888,0.456,4830,7430,171.399,0.325,0.356,0.138,0.005,200266,206816,198391,68266,85233,1165077704,1816176232,20.578,1.925,-0.002
1.72,64.828,-1.035,437355336,0.445,5003,7343,169.335,0.325,0.354,0.138,0.005,202991,207103,196319,68351,84855,1167977765,1800102087,20.558,1.943,-0.004
1.713,63.407,-1.037,429244870,0.433,5059,7234,166.902,0.321,0.352,0.122,0.004,200134,207207,198663,67428,84858,1136617415,1800213131,20.537,1.958,-0.005
1.706,61.968,-1.039,422609253,0.421,4895,7127,165.276,0.321,0.353,0.123,0.004,205023,207954,209534,68042,84944,1157426217,1803866629,20.516,1.971,-0.006
1.7,60.169,-1.042,418028798,0.41,4789,7044,164.143,0.323,0.355,0.125,0.004,215689,209451,231428,72674,86100,1320375639,1853303787,20.495,1.986,-0.008
1.694,58.975,-1.044,415945466,0.398,4768,6997,162.87,0.326,0.358,0.13,0.004,222486,210584,238441,70100,85186,1228516620,1814170412,20.475,2.001,-0.009
1.689,57.17,-1.046,414606204,0.387,4688,6956,161.893,0.327,0.358,0.129,0.004,233802,211781,246403,70286,84583,1235035581,1788589138,20.453,2.015,-0.01
1.684,55.39,-1.049,414176057,0.375,4588,6938,160.79,0.328,0.357,0.128,0.004,237470,212707,243867,69940,83246,1222911890,1732476446,20.432,2.029,-0.012
1.678,54.215,-1.051,412264535,0.363,4574,6899,159.781,0.328,0.355,0.128,0.004,234326,213192,226990,70765,81723,1251917275,1669663191,20.411,2.043,-0.013
1.673,53.042,-1.053,409649607,0.352,4441,6846,158.261,0.327,0.352,0.13,0.004,227168,213146,208974,65282,81833,1065450105,1674151352,20.389,2.056,-0.014
1.667,51.735,-1.055,406183258,0.341,4347,6770,157.138,0.326,0.351,0.129,0.004,223229,213608,206194,64567,81423,1042215858,1657409538,20.369,2.068,-0.016
1.662,50.331,-1.058,404278149,0.33,4298,6729,156.224,0.326,0.351,0.129,0.004,215935,214490,210771,63033,80892,993298610,1635868523,20.347,2.078,-0.017
1.656,49.414,-1.06,403514113,0.319,4360,6698,155.443,0.327,0.351,0.129,0.004,219826,215730,224534,66061,80898,1091006290,1636141756,20.324,2.086,-0.018
1.65,48.437,-1.062,404502598,0.308,4454,6703,154.417,0.327,0.351,0.128,0.004,215440,216105,225485,64198,80728,1030331657,1629258055,20.301,2.093,-0.019
1.645,47.033,-1.065,405557094,0.298,4595,6712,153.705,0.327,0.35,0.128,0.004,212844,216783,222994,64369,79323,1035842747,1573041859,20.276,2.099,-0.02
1.64,45.737,-1.067,403024107,0.288,4466,6650,152.709,0.327,0.35,0.127,0.004,216168,217346,218093,65010,77913,1056577175,1517591302,20.252,2.105,-0.022
1.635,44.578,-1.069,398352900,0.278,4474,6581,151.254,0.327,0.347,0.129,0.004,217204,217183,206428,66961,78251,1120946014,1530803274,20.228,2.109,-0.023
1.63,43.645,-1.072,396826289,0.268,4690,6570,150.095,0.326,0.346,0.128,0.004,213571,216857,199781,66756,78446,1114087662,1538456450,20.203,2.112,-0.024
1.625,42.361,-1.074,397360790,0.259,4864,6562,148.863,0.327,0.347,0.129,0.004,220214,218149,218399,66786,79258,1115086792,1570473450,20.178,2.116,-0.025
1.621,41.33,-1.076,396335240,0.249,4888,6539,147.235,0.326,0.347,0.129,0.004,216067,218778,223833,67300,79107,1132326200,1564464914,20.156,2.114,-0.026
1.616,40.654,-1.079,392156857,0.24,4750,6470,145.56,0.327,0.348,0.13,0.004,224084,219988,239755,70080,79468,1227805821,1578797219,20.131,2.106,-0.027
1.611,39.984,-1.081,390937187,0.231,4654,6430,144.236,0.327,0.347,0.129,0.004,227101,220659,240384,69599,78654,1211021452,1546619531,20.106,2.097,-0.028
1.606,39.033,-1.083,389032128,0.222,4606,6393,142.732,0.326,0.345,0.131,0.004,225205,220681,228598,70688,78607,1249190614,1544776000,20.081,2.087,-0.029
1.6,38.589,-1.086,382294427,0.213,4548,6298,141.001,0.326,0.343,0.132,0.004,226835,220610,217528,71931,78739,1293507355,1549969819,20.055,2.073,-0.03
1.595,37.813,-1.088,379678819,0.205,4536,6256,139.442,0.325,0.343,0.132,0.004,233732,220868,220542,70444,78825,1240597895,1553353949,20.03,2.058,-0.031
1.589,37.57,-1.09,378247088,0.196,4489,6228,138.041,0.325,0.342,0.132,0.004,225032,221253,218896,70337,78605,1236829325,1544668500,20.004,2.043,-0.032
1.584,36.667,-1.093,375860678,0.187,4296,6188,136.844,0.326,0.342,0.132,0.004,229075,222317,230200,72603,78636,1317814899,1545900528,19.978,2.027,-0.033
1.578,36.278,-1.095,374470381,0.179,4078,6165,135.163,0.325,0.34,0.133,0.004,216524,222589,220906,73342,78043,1344766848,1522686738,19.952,2.008,-0.034
1.573,35.394,-1.097,373628841,0.171,3957,6142,133.93,0.326,0.339,0.132,0.004,214362,223255,219642,72883,76616,1327985829,1467520107,19.924,1.987,-0.035
1.569,34.85,-1.099,371848407,0.163,3978,6108,132.663,0.326,0.338,0.131,0.004,217717,223754,216912,71221,75498,1268110953,1424984324,19.896,1.963,-0.036
1.564,34.308,-1.102,369754838,0.155,3931,6071,131.509,0.326,0.337,0.131,0.004,220654,223985,212853,71078,75097,1263022128,1409901449,19.869,1.937,-0.037
1.559,33.925,-1.104,365940400,0.147,3780,6013,130.284,0.327,0.339,0.133,0.004,229235,224850,232429,75384,76721,1420672354,1471510950,19.839,1.9,-0.038
1.554,33.711,-1.106,363047760,0.139,3657,5949,129.02,0.327,0.338,0.133,0.004,228091,224831,229905,75270,76725,1416382342,1471696333,19.815,1.883,-0.038
1.549,33.284,-1.109,361221854,0.131,3705,5925,127.756,0.327,0.338,0.133,0.004,224362,225211,233919,75287,76765,1417032379,1473233899,19.792,1.865,-0.039
1.544,33.082,-1.111,361063385,0.124,4099,5918,125.756,0.326,0.338,0.132,0.004,229975,225057,235627,71089,76661,1263395586,1469221024,19.769,1.846,-0.04
1.538,32.739,-1.113,362955250,0.116,4442,5941,124.768,0.327,0.338,0.132,0.004,230767,225393,232384,70713,76251,1250066564,1453545327,19.746,1.826,-0.041
1.533,32.652,-1.115,362683286,0.109,4614,5932,123.72,0.327,0.336,0.133,0.004,226085,224951,217361,72049,77049,1297765214,1484131644,19.723,1.804,-0.041
1.527,32.241,-1.118,359245147,0.102,4699,5884,121.882,0.326,0.334,0.134,0.005,228430,225033,215314,72036,77003,1297300283,1482373593,19.701,1.784,-0.042
1.521,32.029,-1.12,356913821,0.095,4655,5842,120.607,0.326,0.334,0.134,0.005,222366,225669,222334,70796,77087,1253018405,1485592727,19.679,1.762,-0.043
1.515,31.7,-1.122,356007976,0.088,4684,5817,119.696,0.325,0.334,0.134,0.004,224166,225457,224677,67237,76914,1130212675,1478927355,19.656,1.738,-0.043
1.51,31.247,-1.124,355419522,0.081,4770,5802,118.526,0.325,0.333,0.134,0.004,226892,225963,234443,68551,77301,1174821600,1493845416,19.633,1.711,-0.044
1.504,30.832,-1.127,354949403,0.074,4878,5790,117.159,0.325,0.333,0.134,0.004,229186,226214,239532,68752,77429,1181698293,1498798996,19.611,1.682,-0.045
1.498,30.367,-1.129,351918308,0.068,4848,5722,116.369,0.325,0.331,0.134,0.005,228177,226546,234721,66947,76888,1120466807,1477954951,19.588,1.653,-0.045
1.493,29.82,-1.131,350097869,0.062,4815,5693,115.596,0.324,0.328,0.135,0.005,230786,227030,224911,68148,75375,1161030887,1420353991,19.566,1.62,-0.046
1.487,29.509,-1.133,348050622,0.055,4733,5661,114.765,0.32,0.326,0.123,0.004,226141,226682,213560,69220,75850,1197842872,1438312782,19.543,1.583,-0.046
1.481,29.194,-1.135,347370147,0.049,4700,5647,114.255,0.319,0.324,0.124,0.004,223862,226849,217164,68628,75905,1177451293,1440408426,19.518,1.538,-0.047
1.475,28.767,-1.137,352030004,0.043,5114,5709,113.705,0.319,0.324,0.124,0.004,226308,227329,223414,66070,75910,1091300370,1440596405,19.494,1.491,-0.047
1.469,28.572,-1.14,352249317,0.038,5108,5715,112.913,0.319,0.323,0.124,0.004,222521,227443,226016,64764,75936,1048590925,1441553160,19.469,1.44,-0.048
1.463,28.404,-1.142,353299050,0.032,4882,5727,111.39,0.318,0.323,0.123,0.004,222155,227324,231559,61207,75793,936588055,1436141013,19.445,1.384,-0.048
1.456,28.243,-1.144,357863471,0.027,4930,5783,110.871,0.319,0.322,0.123,0.004,228013,228058,238755,61586,75413,948221861,1421793739,19.42,1.322,-0.049
1.45,27.998,-1.146,360433382,0.022,5181,5835,109.994,0.319,0.322,0.123,0.004,228571,227862,229963,59566,75686,887029633,1432078638,19.402,1.257,-0.049
1.444,27.654,-1.148,361092099,0.018,5493,5856,108.926,0.318,0.32,0.124,0.004,233411,227789,227637,59586,75706,887633045,1432850055,19.386,1.196,-0.049
1.438,27.547,-1.15,359869453,0.013,5737,5851,107.374,0.317,0.32,0.121,0.004,234730,227436,231731,57949,74993,839526894,1405971098,19.373,1.152,-0.049
1.433,27.264,-1.152,361431902,0.01,5994,5879,106.336,0.317,0.321,0.121,0.004,241561,228144,247218,60681,76378,920553419,1458404916,19.359,1.099,-0.05
1.427,27.286,-1.154,363100218,0.006,6149,5902,105.802,0.317,0.321,0.121,0.004,243316,228602,249078,60981,76378,929680445,1458416269,19.345,1.047,-0.05
1.422,27.011,-1.156,363666158,0.003,6200,5913,104.924,0.317,0.322,0.121,0.004,247176,228993,256177,62722,76895,983520264,1478213865,19.332,0.993,-0.05
1.417,27.235,-1.158,364693929,-0.001,6498,5928,104.696,0.316,0.321,0.121,0.004,242762,228536,249396,61217,76613,936887825,1467396259,19.319,0.936,-0.05
1.413,27.093,-1.16,365618509,-0.003,6698,5943,104.478,0.316,0.319,0.122,0.004,244973,228193,240783,60115,76696,903454467,1470563436,19.306,0.874,-0.05
1.408,27.276,-1.161,363887892,-0.006,7155,5952,103.684,0.313,0.318,0.118,0.004,242928,226778,230778,60441,73596,913273480,1354091467,19.294,0.811,-0.05
1.403,27.521,-1.163,363277474,-0.008,7558,5965,102.807,0.311,0.316,0.115,0.003,235750,225025,219932,60691,68412,920852416,1170051504,19.28,0.731,-0.05
1.397,27.594,-1.165,364982997,-0.009,7490,5992,102.663,0.31,0.316,0.114,0.003,226902,224485,219680,59732,67319,891975024,1132960830,19.266,0.633,-0.05
1.392,27.765,-1.167,367828857,-0.011,7844,6039,102.633,0.309,0.315,0.114,0.003,220523,224033,214042,54995,67308,756109737,1132589871,19.252,0.514,-0.05
1.387,27.684,-1.168,357180328,-0.012,8124,5904,102.526,0.309,0.315,0.114,0.003,219260,224188,224630,56226,67600,790349873,1142424634,19.252,0.515,-0.05
1.382,27.75,-1.17,353843427,-0.012,8257,5857,101.923,0.309,0.315,0.114,0.003,226849,224879,238107,58133,68313,844875407,1166675942,19.251,0.512,-0.05
1.377,27.77,-1.171,351682082,-0.013,8170,5836,101.502,0.309,0.313,0.115,0.003,223425,224708,227481,60493,68640,914859592,1177849995,19.253,0.517,-0.049
1.373,27.669,-1.173,346795481,-0.013,8357,5803,101.162,0.307,0.312,0.113,0.003,226759,224155,228697,60320,67706,909639629,1146015786,19.261,0.528,-0.049
1.368,27.703,-1.175,342778407,-0.013,8184,5759,101.112,0.306,0.311,0.112,0.003,231473,223946,230142,56186,67485,789208850,1138548274,19.269,0.54,-0.049
1.364,27.814,-1.176,339621054,-0.012,8064,5725,100.906,0.305,0.31,0.112,0.003,232077,223940,232016,55998,67480,783934247,1138374614,19.277,0.552,-0.049
1.36,27.776,-1.178,337918109,-0.012,7969,5712,101.049,0.305,0.31,0.111,0.003,238840,223884,236920,55749,67379,776984900,1134977224,19.286,0.566,-0.048
1.355,27.91,-1.179,341148336,-0.011,8327,5767,101.557,0.303,0.31,0.109,0.003,234192,223046,234794,55753,65122,777108117,1060227858,19.295,0.579,-0.048
1.351,27.934,-1.18,341833774,-0.011,8207,5776,101.75,0.304,0.31,0.108,0.003,228164,223545,233990,54560,64667,744191576,1045440547,19.304,0.592,-0.048
1.346,27.901,-1.182,342000978,-0.01,8073,5785,101.888,0.303,0.307,0.11,0.003,226894,223635,220814,57749,64377,833723923,1036111592,19.313,0.605,-0.047
1.342,27.852,-1.183,340991281,-0.009,7780,5780,101.484,0.301,0.305,0.112,0.003,218813,223193,207020,60959,65245,929012375,1064215416,19.322,0.617,-0.047
1.337,27.889,-1.185,328101222,-0.008,7582,5521,101.237,0.301,0.304,0.112,0.003,216503,223648,206409,59416,64472,882568602,1039157525,19.331,0.628,-0.047
1.332,27.844,-1.186,323692881,-0.007,7264,5464,101.411,0.3,0.303,0.112,0.003,213013,223557,205918,57485,64500,826142844,1040063350,19.341,0.636,-0.046
1.327,27.711,-1.187,322881708,-0.006,6917,5458,101.375,0.3,0.303,0.113,0.003,210596,223759,211358,57374,64525,822948733,1040878758,19.35,0.646,-0.046
1.323,27.651,-1.188,323834724,-0.005,6752,5482,101.396,0.3,0.303,0.113,0.003,210017,223672,215280,56918,64490,809904387,1039743300,19.36,0.655,-0.045
1.319,27.483,-1.19,324805002,-0.004,6389,5506,101.594,0.298,0.301,0.111,0.003,202499,222954,207364,59592,65051,887814262,1057918822,19.369,0.664,-0.045
1.315,27.26,-1.191,325641098,-0.003,6220,5528,101.84,0.298,0.299,0.111,0.003,201442,223212,198753,62755,63985,984548695,1023528601,19.379,0.673,-0.044
1.311,26.933,-1.192,325065456,-0.001,5901,5536,101.698,0.297,0.297,0.113,0.003,202167,222763,192593,64145,64711,1028658740,1046862474,19.389,0.681,-0.044
1.307,26.86,-1.193,325595767,0.0,6033,5553,101.727,0.296,0.296,0.112,0.003,200440,222294,193121,63592,64628,1010977013,1044203248,19.398,0.682,-0.043
1.303,26.651,-1.194,327789941,0.001,6158,5592,101.744,0.294,0.295,0.112,0.003,198645,221831,193503,63991,64607,1023699412,1043507551,19.403,0.678,-0.043
1.3,26.445,-1.196,326189763,0.003,6086,5574,101.484,0.294,0.294,0.112,0.003,194175,221439,194713,63405,64619,1005039900,1043901242,19.407,0.675,-0.042
1.296,26.266,-1.197,324789589,0.004,5667,5557,101.465,0.293,0.293,0.112,0.003,191232,221280,197590,56766,64703,805598034,1046610967,19.41,0.674,-0.042
1.292,26.079,-1.198,325649074,0.005,5498,5565,101.715,0.293,0.291,0.112,0.003,192034,221403,195773,56647,64376,802223898,1036059229,19.412,0.673,-0.041
1.288,25.934,-1.199,324653881,0.006,5409,5548,101.653,0.292,0.289,0.114,0.003,193491,220802,192329,53960,64963,727929845,1055045896,19.415,0.672,-0.041
1.284,25.474,-1.2,322997308,0.008,5376,5536,101.314,0.291,0.288,0.115,0.003,196345,220661,193150,54116,65115,732127594,1059995616,19.416,0.671,-0.04
1.281,25.098,-1.201,323903619,0.009,5345,5546,101.209,0.292,0.289,0.116,0.003,213686,221858,225481,68029,68731,1157001849,1180996257,19.418,0.671,-0.04
1.279,24.686,-1.202,326141041,0.011,5640,5580,101.453,0.293,0.292,0.118,0.003,231879,223338,254389,79374,72105,1575065532,1299781294,19.42,0.672,-0.04
1.277,24.218,-1.203,329152938,0.012,5928,5626,101.719,0.295,0.293,0.119,0.004,244466,224632,269319,83187,72775,1730033166,1324045774,19.423,0.672,-0.039
1.275,23.867,-1.204,330400996,0.014,5872,5644,101.871,0.295,0.294,0.119,0.004,253253,225401,274999,84660,73094,1791825848,1335680372,19.425,0.671,-0.039
1.274,23.554,-1.205,329662128,0.016,5761,5624,101.996,0.295,0.293,0.119,0.004,255213,225465,261108,84888,72987,1801503479,1331793508,19.428,0.669,-0.038
1.273,23.149,-1.206,330421873,0.018,5761,5637,101.835,0.294,0.291,0.12,0.004,256043,225150,243320,84632,73453,1790639038,1348836210,19.43,0.668,-0.038
1.272,22.886,-1.207,330509639,0.02,5646,5653,101.522,0.293,0.29,0.119,0.004,261133,225025,237411,82460,73365,1699927231,1345615212,19.433,0.668,-0.038
1.271,22.55,-1.208,331473068,0.022,5544,5671,101.335,0.291,0.291,0.115,0.003,250923,224599,235677,82390,72226,1697043479,1304155847,19.434,0.667,-0.037
1.27,22.319,-1.209,331041046,0.024,5213,5661,101.188,0.289,0.291,0.106,0.003,244636,225061,244275,85541,73235,1829313375,1340827295,19.435,0.665,-0.037
1.269,21.949,-1.21,330383810,0.026,5199,5653,100.843,0.288,0.291,0.105,0.003,239623,225085,247242,86328,73275,1863132061,1342292084,19.436,0.664,-0.036
1.268,21.62,-1.211,330225586,0.028,5210,5654,100.859,0.288,0.291,0.104,0.003,237702,225419,250772,86837,73520,1885144804,1351281499,19.438,0.662,-0.036
