difficulty-btc-trx-90,mining_profitability-btc-sma-30,mining_profitability-btc-trx-90,sentinusd-btc-sma-90,marketcap-btc-trx-90,transactionvalue-btc-sma-14,transactionvalue-btc-sma-90,mediantransactionvalue-btc-sma-90,fee_to_reward-btc-sma-90,fee_to_reward-btc-ema-90,fee_to_reward-btc-std-90,fee_to_reward-btc-var-90,size-btc-sma-7,size-btc-sma-90,size-btc-wma-7,size-btc-std-30,size-btc-std-90,size-btc-var-30,size-btc-var-90,top100cap-btc-sma-90,top100cap-btc-std-90,top100cap-btc-trx-90
0.65,6992.0,0.504,104362540,1.912,2618,2144,55.453,1.262,1.21,0.775,0.15,172071,162822,167452,47487,52561,563745037,690660698,19.712,0.843,-0.024
0.661,6864.0,0.507,105019804,1.906,2528,2156,55.86,1.264,1.208,0.771,0.149,170578,163285,167174,45560,52103,518930088,678682575,19.72,0.844,-0.023
0.671,6705.0,0.509,105524476,1.899,2330,2169,56.516,1.264,1.209,0.771,0.149,168609,163049,163657,44606,52032,497415358,676820724,19.728,0.846,-0.022
0.682,6441.0,0.51,105710349,1.891,2149,2173,56.944,1.267,1.217,0.774,0.15,167494,163146,168766,45110,52192,508723669,681006762,19.737,0.847,-0.021
0.692,6223.0,0.511,106168936,1.881,2048,2181,57.357,1.27,1.223,0.776,0.15,168661,163271,174532,45887,52400,526402064,686443622,19.745,0.845,-0.02
0.701,6184.0,0.511,106552887,1.871,1960,2187,57.664,1.272,1.225,0.775,0.15,173328,163678,180005,43082,52672,464009278,693580120,19.752,0.843,-0.019
0.711,6146.0,0.511,106797975,1.859,1907,2191,58.016,1.274,1.228,0.775,0.15,177546,163870,182196,43399,52813,470866244,697297024,19.76,0.84,-0.018
0.72,6098.0,0.51,107323460,1.847,1715,2209,58.5,1.273,1.23,0.775,0.15,178348,163606,179988,42592,52475,453510212,688408791,19.766,0.839,-0.018
0.73,6061.0,0.509,107851154,1.834,1606,2217,58.934,1.275,1.235,0.776,0.15,182758,164089,185860,44201,53070,488438430,704105437,19.773,0.837,-0.017
0.739,6019.0,0.507,108187749,1.82,1476,2223,59.34,1.281,1.245,0.78,0.152,191530,164757,194648,47408,54237,561888575,735409099,19.78,0.836,-0.016
0.748,6020.0,0.504,108551251,1.805,1436,2230,59.854,1.29,1.263,0.797,0.159,193246,165370,197030,48493,54615,587886156,745706954,19.788,0.835,-0.015
0.757,6028.0,0.502,109031405,1.789,1437,2241,60.416,1.293,1.265,0.796,0.158,190870,165915,192200,48405,53963,585771523,728006513,19.796,0.833,-0.014
0.766,6039.0,0.499,109474500,1.774,1478,2252,61.101,1.294,1.26,0.795,0.158,187572,166376,186349,47339,53297,560254137,710130325,19.806,0.826,-0.014
0.774,5997.0,0.495,109625214,1.757,1447,2256,61.499,1.295,1.259,0.794,0.158,181771,166348,174828,46387,53345,537941521,711417634,19.816,0.818,-0.013
0.782,5924.0,0.491,109850633,1.741,1408,2262,62.131,1.297,1.261,0.793,0.157,183511,166576,174608,46263,53416,535062099,713327497,19.826,0.81,-0.012
0.79,5891.0,0.487,110276921,1.724,1374,2271,62.912,1.299,1.26,0.792,0.157,179524,166849,172213,42640,53313,454550173,710556133,19.835,0.805,-0.012
0.798,5862.0,0.483,110816057,1.707,1365,2284,63.727,1.3,1.26,0.791,0.156,171082,167033,167036,41885,53085,438595756,704493036,19.843,0.801,-0.011
0.805,5820.0,0.479,111159674,1.69,1384,2291,64.525,1.301,1.261,0.791,0.156,165530,166980,164814,42078,53094,442635052,704750595,19.851,0.797,-0.01
0.812,5757.0,0.474,111788629,1.673,1400,2303,65.427,1.3,1.258,0.791,0.156,163387,166934,163162,40102,53115,402038836,705301338,19.86,0.793,-0.01
0.818,5660.0,0.47,112186721,1.657,1455,2314,66.099,1.3,1.255,0.791,0.157,160740,166818,159550,40862,53226,417420140,708254327,19.867,0.782,-0.009
0.825,5595.0,0.465,112126926,1.641,1473,2318,66.876,1.294,1.244,0.799,0.16,159572,166636,152693,42768,53570,457276140,717446998,19.875,0.77,-0.008
0.831,5562.0,0.46,112533417,1.624,1440,2328,67.483,1.291,1.241,0.8,0.16,154945,166345,149926,42675,53677,455284730,720294360,19.883,0.758,-0.008
0.837,5477.0,0.455,112941060,1.608,1459,2337,68.289,1.294,1.244,0.799,0.16,154314,166609,153567,38816,53502,376673606,715625093,19.891,0.746,-0.007
0.843,5413.0,0.45,113397577,1.592,1503,2349,69.183,1.292,1.244,0.799,0.16,154482,166458,154987,38045,53499,361851949,715548417,19.899,0.733,-0.007
0.848,5386.0,0.445,113683197,1.577,1512,2355,69.977,1.284,1.24,0.794,0.158,153631,166010,155426,38263,53158,366007834,706454352,19.907,0.72,-0.006
0.853,5344.0,0.44,114011780,1.561,1509,2363,70.96,1.28,1.235,0.796,0.158,151967,165642,153837,39191,53214,383980210,707931343,19.913,0.707,-0.006
0.858,5361.0,0.435,114337147,1.545,1474,2369,71.605,1.276,1.225,0.802,0.161,148517,165283,147042,41128,53872,422887484,725536816,19.919,0.697,-0.005
0.863,5356.0,0.429,114528800,1.529,1479,2376,72.267,1.274,1.219,0.804,0.162,146795,164801,140227,43976,54657,483478706,746834374,19.925,0.688,-0.005
0.868,5341.0,0.424,114711010,1.514,1508,2380,72.919,1.27,1.217,0.804,0.162,143638,164044,135130,46120,54876,531757757,752844625,19.93,0.677,-0.004
0.872,5303.0,0.418,114597056,1.498,1503,2380,73.703,1.237,1.212,0.579,0.084,137953,163324,131648,47622,54958,566960723,755104704,19.934,0.668,-0.004
0.876,5256.0,0.413,114792930,1.482,1486,2385,74.33,1.235,1.214,0.576,0.083,136202,162723,134095,47973,54442,575347274,740969734,19.94,0.658,-0.004
0.88,5198.0,0.406,115196936,1.466,1504,2393,74.898,1.232,1.207,0.58,0.084,134375,162523,135905,48406,54591,585784251,745040437,19.943,0.652,-0.003
0.885,5144.0,0.4,115542914,1.45,1488,2401,75.711,1.229,1.202,0.583,0.085,135445,162501,141005,48438,54602,586567790,745347192,19.947,0.646,-0.003
0.891,5090.0,0.393,115412659,1.434,1423,2403,76.336,1.225,1.198,0.584,0.085,135168,161806,137854,49400,55010,610094972,756537015,19.951,0.637,-0.003
0.896,5002.0,0.385,115705828,1.417,1450,2412,76.844,1.222,1.191,0.588,0.087,136983,161400,137554,48934,55287,598636661,764150570,19.957,0.627,-0.002
0.901,4917.0,0.378,115550688,1.4,1415,2409,77.361,1.209,1.182,0.575,0.083,135876,160720,132972,49418,55864,610532901,780182686,19.962,0.619,-0.002
0.907,4866.0,0.37,115533497,1.383,1395,2411,77.929,1.206,1.179,0.576,0.083,134934,160226,129782,49782,56396,619568088,795137590,19.966,0.61,-0.002
0.913,4816.0,0.361,115668754,1.365,1358,2416,78.588,1.203,1.172,0.581,0.084,128999,159674,122596,52302,57518,683870241,827072714,19.971,0.602,-0.001
0.918,4769.0,0.353,113810964,1.348,1366,2391,79.484,1.196,1.165,0.581,0.085,123940,158956,117355,51175,58458,654722977,854338374,19.978,0.59,-0.001
0.924,4729.0,0.344,113499784,1.33,1360,2375,80.077,1.197,1.157,0.579,0.084,120488,159286,119023,44612,57472,497550505,825769086,19.984,0.578,-0.001
0.93,4669.0,0.336,113537355,1.313,1362,2375,80.649,1.198,1.149,0.572,0.082,116731,159460,113036,43105,56611,464508468,801208320,19.991,0.564,-0.001
0.935,4600.0,0.326,112169879,1.295,1372,2344,80.662,1.197,1.138,0.577,0.083,112796,159447,110460,43317,56658,469081819,802518777,19.999,0.548,-0.0006
0.941,4504.0,0.317,111742578,1.277,1342,2334,80.712,1.195,1.135,0.578,0.084,116295,159566,118047,42129,56475,443716316,797360179,20.006,0.53,-0.0001999999999999
0.947,4425.0,0.307,111295241,1.259,1348,2324,80.989,1.199,1.134,0.569,0.081,120060,160071,126341,42283,55280,446957020,763977487,20.013,0.514,0.0002
0.954,4367.0,0.297,110614817,1.241,1337,2312,81.275,1.201,1.133,0.567,0.08,127781,160440,136386,40187,54835,403743795,751707023,20.021,0.497,0.0006
0.962,4276.0,0.287,110467379,1.223,1327,2311,81.406,1.208,1.148,0.58,0.084,134967,160748,144024,38734,54472,375089217,741799334,20.029,0.477,0.001
0.969,4201.0,0.277,110370342,1.205,1336,2310,82.027,1.208,1.145,0.579,0.084,135176,160824,143301,38030,54291,361579090,736878489,20.037,0.454,0.001
0.977,4100.0,0.267,110200431,1.187,1344,2307,82.394,1.213,1.147,0.574,0.082,138185,160687,138909,37524,54663,352006818,747014204,20.045,0.432,0.001
0.984,3997.0,0.256,109484112,1.17,1293,2293,82.588,1.208,1.139,0.581,0.084,138233,160000,131053,37934,55791,359737657,778162795,20.052,0.413,0.001
0.992,3895.0,0.246,108863702,1.152,1309,2278,82.721,1.206,1.137,0.582,0.085,137125,159712,130343,37541,56028,352339628,784786585,20.057,0.402,0.001
0.999,3804.0,0.235,107384318,1.135,1329,2250,82.883,1.196,1.131,0.572,0.082,134050,159014,128046,37599,56030,353424516,784853927,20.061,0.393,0.002
1.007,3708.0,0.224,106436304,1.117,1330,2236,83.149,1.191,1.126,0.575,0.083,128399,158408,124705,37452,56493,350655845,797877422,20.065,0.386,0.002
1.014,3622.0,0.214,105704736,1.1,1307,2227,83.331,1.184,1.118,0.581,0.084,123980,157848,124455,34888,56712,304288249,804061457,20.067,0.384,0.002
1.021,3523.0,0.203,104651695,1.082,1288,2211,83.694,1.18,1.118,0.578,0.084,124445,157265,127293,33263,56548,276607927,799423478,20.069,0.383,0.002
1.028,3414.0,0.192,103669075,1.065,1298,2190,83.968,1.175,1.106,0.591,0.087,122746,156797,122610,32977,57541,271875717,827744581,20.072,0.38,0.002
1.035,3310.0,0.181,102626684,1.047,1297,2175,83.961,1.173,1.098,0.594,0.088,120722,156279,115071,34677,58987,300619157,869863341,20.074,0.38,0.003
1.042,3183.0,0.169,100541168,1.029,1342,2147,84.074,1.165,1.088,0.605,0.091,117564,155588,113213,35014,59526,306502036,885839248,20.076,0.381,0.003
1.049,3083.0,0.158,98377801,1.012,1350,2114,84.035,1.158,1.084,0.6,0.09,116043,154845,113144,35123,59749,308403591,892483643,20.079,0.382,0.003
1.055,2980.0,0.147,96568468,0.994,1390,2088,84.099,1.143,1.074,0.587,0.086,111087,153338,105632,37999,59780,360988142,893421738,20.082,0.384,0.003
1.062,2867.0,0.135,94761630,0.976,1419,2061,83.65,1.134,1.063,0.596,0.089,106777,152307,102169,39236,60410,384870822,912345138,20.088,0.384,0.003
1.068,2794.0,0.124,93765695,0.958,1454,2046,83.468,1.131,1.055,0.602,0.091,100332,151547,98028,40016,61779,400311309,954172180,20.095,0.387,0.004
1.075,2721.0,0.112,92841474,0.94,1480,2034,83.342,1.123,1.045,0.61,0.093,97268,150201,94012,41411,62303,428716711,970417721,20.103,0.392,0.004
1.08,2649.0,0.1,90989948,0.921,1522,2005,82.518,1.115,1.031,0.628,0.099,94908,148879,88712,42249,63476,446234650,1007316427,20.113,0.392,0.004
1.086,2581.0,0.089,88042869,0.903,1536,1955,81.196,1.11,1.023,0.635,0.101,92219,147938,88601,42987,64161,461975099,1029161493,20.123,0.395,0.004
1.091,2531.0,0.077,84123089,0.885,1571,1887,78.46,1.103,1.017,0.637,0.102,90216,147214,91364,42736,64688,456596939,1046137403,20.132,0.4,0.005
1.096,2482.0,0.065,82853383,0.866,1626,1866,78.39,1.092,1.007,0.64,0.103,91210,145841,92048,43471,63989,472437079,1023633808,20.136,0.411,0.005
1.101,2409.0,0.053,82226071,0.848,1685,1857,78.932,1.087,1.003,0.642,0.103,93776,145301,98045,43358,64194,469972619,1030203235,20.141,0.422,0.005
1.107,2335.0,0.041,82053797,0.831,1725,1851,79.272,1.085,0.998,0.644,0.104,102595,145376,112587,45278,64209,512515792,1030687792,20.145,0.429,0.006
1.112,2288.0,0.03,82195983,0.813,1777,1858,79.731,1.079,0.995,0.643,0.103,107053,144713,115806,45184,64197,510406342,1030321433,20.148,0.433,0.006
1.118,2232.0,0.018,81863182,0.796,1796,1855,79.619,1.065,0.985,0.635,0.101,110090,143996,113375,45342,64853,513969236,1051477636,20.148,0.432,0.006
1.124,2183.0,0.006,81136796,0.779,1782,1852,79.894,1.058,0.975,0.644,0.104,111582,143148,112080,44985,64880,505917317,1052364078,20.146,0.426,0.007
1.13,2133.0,-0.005,80633180,0.763,1827,1850,80.248,1.047,0.973,0.622,0.097,112670,142560,111905,44896,65080,503919328,1058845160,20.145,0.424,0.007
1.136,2119.0,-0.017,75509313,0.747,1861,1744,80.224,1.042,0.967,0.625,0.098,113794,142076,108944,43976,65664,483482582,1077924224,20.144,0.422,0.007
1.141,2086.0,-0.028,74280927,0.731,1876,1730,80.3,1.035,0.966,0.614,0.094,114057,141025,109756,41989,64190,440766992,1030092402,20.146,0.432,0.008
1.147,2041.0,-0.039,73817119,0.716,1858,1722,80.532,1.027,0.956,0.624,0.097,106189,140353,105457,38492,64756,370413135,1048326054,20.147,0.433,0.008
1.152,2000.0,-0.051,73098782,0.701,1847,1708,80.279,1.024,0.946,0.631,0.099,101548,139907,99656,35486,65768,314805416,1081371646,20.147,0.432,0.008
1.157,1958.0,-0.062,71586906,0.686,1825,1676,80.032,1.016,0.936,0.639,0.102,99497,139195,95013,35483,66822,314768280,1116308741,20.147,0.433,0.009
1.162,1912.0,-0.073,70351173,0.671,1850,1662,80.108,1.009,0.933,0.635,0.101,100204,138478,97602,35274,66680,311066375,1111548953,20.147,0.434,0.009
1.167,1870.0,-0.084,68528922,0.656,1863,1636,80.215,0.999,0.926,0.631,0.099,102104,137529,103597,35845,65016,321222227,1056779298,20.149,0.438,0.009
1.172,1837.0,-0.095,66902101,0.642,1844,1616,80.166,0.993,0.925,0.625,0.098,105548,136966,109304,34926,64563,304961739,1042092338,20.15,0.441,0.01
1.178,1796.0,-0.106,66001408,0.628,1821,1603,80.107,0.993,0.925,0.626,0.098,108856,136772,117966,36176,64419,327175376,1037443955,20.151,0.444,0.01
1.184,1759.0,-0.117,65661812,0.615,1827,1598,80.167,0.987,0.915,0.634,0.101,110105,136311,117156,35823,64709,320822312,1046824233,20.154,0.449,0.01
1.189,1723.0,-0.128,65384225,0.602,1761,1591,79.968,0.987,0.911,0.635,0.101,111779,136008,113304,35207,65228,309883581,1063675042,20.158,0.455,0.011
1.195,1688.0,-0.138,64724703,0.589,1761,1554,79.523,0.981,0.903,0.641,0.103,114777,135525,111351,33417,65525,279171907,1073386958,20.163,0.46,0.011
1.201,1665.0,-0.149,64573567,0.576,1755,1541,79.696,0.975,0.898,0.642,0.103,114903,134740,110339,33491,64999,280408947,1056205981,20.168,0.468,0.011
1.206,1652.0,-0.159,64366119,0.564,1759,1532,79.79,0.972,0.895,0.643,0.103,111443,133958,106604,33242,64961,276253741,1054984870,20.174,0.478,0.012
1.211,1635.0,-0.169,64227431,0.552,1710,1530,79.901,0.966,0.898,0.631,0.1,111457,133160,110002,33900,63602,287303910,1011291550,20.179,0.493,0.012
1.216,1619.0,-0.18,64624665,0.54,1714,1536,79.948,0.961,0.898,0.627,0.098,110777,132638,115996,35354,62742,312479037,984143107,20.184,0.503,0.012
1.22,1603.0,-0.19,65061448,0.529,1701,1543,80.246,0.955,0.891,0.631,0.099,112780,132213,118210,34895,62570,304413474,978758562,20.19,0.513,0.013
1.225,1587.0,-0.2,65083859,0.518,1714,1543,80.128,0.952,0.885,0.634,0.101,117154,131911,121345,35304,62437,311598353,974593152,20.194,0.52,0.013
1.23,1571.0,-0.209,64651751,0.508,1710,1535,79.903,0.946,0.881,0.633,0.1,118489,131357,120384,34730,62204,301542853,967322361,20.2,0.527,0.013
1.235,1559.0,-0.219,64431408,0.497,1688,1532,79.973,0.94,0.875,0.636,0.101,120057,130810,121187,33810,61665,285783403,950631571,20.205,0.531,0.014
1.24,1552.0,-0.229,64308088,0.487,1624,1527,79.704,0.936,0.875,0.633,0.1,123754,130469,122635,31829,61431,253267364,943449634,20.209,0.535,0.014
1.246,1536.0,-0.238,64429927,0.478,1591,1529,79.58,0.926,0.87,0.62,0.096,125207,129871,125497,32265,60174,260251557,905219709,20.214,0.541,0.014
1.251,1527.0,-0.248,64286834,0.468,1556,1526,79.331,0.92,0.872,0.609,0.093,123916,129158,125794,32408,58785,262571258,863922427,20.221,0.547,0.014
1.256,1503.0,-0.257,64178622,0.459,1506,1527,79.387,0.915,0.873,0.603,0.091,122837,128286,122836,31489,57429,247889593,824522529,20.227,0.551,0.015
1.261,1498.0,-0.266,64107427,0.45,1493,1527,79.318,0.907,0.866,0.601,0.09,121016,127514,120270,31494,56374,247963400,794498622,20.232,0.552,0.015
1.266,1492.0,-0.276,63691648,0.442,1462,1515,79.116,0.899,0.86,0.597,0.089,116381,126538,110231,30477,56529,232211290,798869106,20.239,0.556,0.015
1.271,1472.0,-0.285,63708750,0.433,1459,1518,79.09,0.888,0.852,0.591,0.087,118148,125785,114654,31483,54256,247795455,735936502,20.249,0.57,0.016
1.276,1452.0,-0.294,64291275,0.425,1466,1530,79.09,0.876,0.847,0.568,0.081,119987,124905,119796,32317,50704,261093404,642719475,20.259,0.587,0.016
1.281,1427.0,-0.303,64947817,0.417,1526,1544,79.236,0.865,0.851,0.512,0.066,121452,124287,126165,34046,48274,289789175,582593855,20.267,0.6,0.016
1.288,1404.0,-0.312,64925656,0.409,1469,1541,79.052,0.866,0.865,0.517,0.067,126695,124167,136577,38077,47831,362468152,571942132,20.275,0.609,0.017
1.295,1372.0,-0.32,65289244,0.401,1454,1539,78.463,0.867,0.87,0.518,0.067,136749,124333,150518,44238,48532,489255953,588840085,20.281,0.615,0.017
1.303,1354.0,-0.329,65792889,0.394,1476,1547,78.045,0.86,0.865,0.516,0.067,139195,124202,148755,44370,48410,492166606,585872242,20.287,0.617,0.017
1.311,1332.0,-0.338,65983208,0.387,1492,1548,77.487,0.856,0.866,0.507,0.064,146294,123643,146594,43657,46917,476485243,550300436,20.292,0.618,0.018
1.32,1309.0,-0.347,66329194,0.38,1488,1549,76.802,0.854,0.871,0.503,0.063,152552,123687,154489,45806,47112,524544057,554881968,20.297,0.619,0.018
1.329,1286.0,-0.355,66494390,0.373,1503,1548,76.208,0.848,0.868,0.496,0.062,154362,123604,154198,44107,46891,486360471,549688582,20.3,0.619,0.018
1.337,1275.0,-0.364,67095380,0.367,1562,1557,75.818,0.841,0.863,0.489,0.06,153304,123336,150122,43833,46277,480324968,535393065,20.303,0.618,0.018
1.346,1272.0,-0.372,67050017,0.361,1571,1553,75.202,0.837,0.86,0.486,0.059,148962,123045,144972,43850,45704,480703689,522210726,20.306,0.617,0.019
1.355,1252.0,-0.38,67068079,0.355,1600,1550,74.924,0.832,0.856,0.483,0.058,141899,122868,140987,43873,45424,481201585,515836969,20.31,0.612,0.019
1.363,1237.0,-0.389,67177073,0.35,1616,1549,74.382,0.83,0.851,0.485,0.059,142104,122844,138295,43662,45404,476594398,515382199,20.314,0.606,0.019
1.373,1215.0,-0.397,66946539,0.344,1638,1546,74.05,0.826,0.849,0.482,0.058,143865,122781,138488,43174,45278,466006296,512521196,20.317,0.602,0.019
1.384,1192.0,-0.405,66847032,0.339,1624,1544,73.648,0.822,0.852,0.469,0.055,139991,122573,140212,41886,44583,438601865,496915015,20.319,0.598,0.019
1.395,1177.0,-0.413,66946645,0.335,1575,1542,73.354,0.819,0.854,0.461,0.053,143508,122751,149216,43635,45301,476000168,513048743,20.322,0.593,0.019
1.407,1156.0,-0.421,67037695,0.33,1497,1542,72.875,0.869,0.957,1.094,0.299,146622,122791,153303,43796,45426,479523501,515884304,20.325,0.588,0.019
1.419,1133.0,-0.429,67033901,0.326,1769,1582,72.15,0.864,0.949,1.095,0.3,146669,122633,149905,41830,45182,437435352,510362972,20.326,0.584,0.019
1.431,1113.0,-0.437,67450779,0.322,1777,1587,72.027,0.864,0.947,1.095,0.3,147508,122790,147962,41635,45309,433364896,513225021,20.328,0.58,0.019
1.443,1099.0,-0.444,67786058,0.319,1814,1600,71.949,0.86,0.938,1.096,0.3,142783,122532,135598,43877,45604,481293929,519930491,20.329,0.576,0.019
1.454,1076.0,-0.452,67608399,0.316,1875,1605,71.447,0.853,0.928,1.098,0.302,135947,122183,123659,45896,45959,526599520,528048717,20.331,0.571,0.019
1.466,1065.0,-0.46,67693661,0.313,1908,1612,70.943,0.851,0.926,1.098,0.301,129563,121920,116190,46920,46054,550363280,530234379,20.332,0.567,0.019
1.477,1052.0,-0.467,67991698,0.311,1959,1621,70.749,0.844,0.92,1.095,0.3,123103,121732,116497,46313,45768,536219711,523666985,20.332,0.566,0.019
1.489,1031.0,-0.474,68132381,0.309,1951,1626,70.651,0.841,0.915,1.095,0.3,121259,121771,122456,46271,45847,535255577,525488185,20.334,0.561,0.019
1.502,1009.0,-0.482,68279243,0.307,1979,1629,69.894,0.839,0.91,1.095,0.3,122614,121635,127772,46203,45526,533686591,518151944,20.334,0.56,0.019
1.516,988.771,-0.489,68672559,0.305,1960,1633,69.464,0.835,0.906,1.095,0.3,123763,121902,133852,46372,45833,537598133,525176533,20.334,0.561,0.019
1.53,962.267,-0.496,68673929,0.303,1978,1631,68.975,0.833,0.901,1.095,0.3,132139,122155,142083,46786,46344,547235127,536938400,20.333,0.565,0.019
1.545,946.045,-0.504,68610201,0.302,1953,1630,68.337,0.831,0.896,1.096,0.3,137328,122296,141887,45906,46378,526836902,537722451,20.331,0.569,0.018
