Date,bitcoin-difficulty_raw,difficulty-btc-sma-3,difficulty-btc-sma-7,difficulty-btc-sma-14,difficulty-btc-sma-30,difficulty-btc-sma-90,difficulty-btc-ema-3,difficulty-btc-ema-7,difficulty-btc-ema-14,difficulty-btc-ema-30,difficulty-btc-ema-90,difficulty-btc-wma-3,difficulty-btc-wma-7,difficulty-btc-wma-14,difficulty-btc-wma-30,difficulty-btc-wma-90,difficulty-btc-var-90,hashrate-btc-sma-7,hashrate-btc-sma-14,hashrate-btc-sma-30,hashrate-btc-sma-90,hashrate-btc-ema-14,hashrate-btc-ema-30,hashrate-btc-ema-90,hashrate-btc-wma-14,hashrate-btc-wma-30,hashrate-btc-wma-90,hashrate-btc-std-90,hashrate-btc-var-90,hashrate-btc-trx-90,mining_profitability-btc-sma-90,mining_profitability-btc-std-90,transactionfees-btc-trx-90,marketcap-btc-sma-90,marketcap-btc-ema-90,marketcap-btc-wma-90,fee_to_reward-btc-sma-90,transactions-btc-sma-90,sentbyaddress-btc-sma-30,sentbyaddress-btc-ema-30,sentbyaddress-btc-wma-30,top100cap-btc-sma-30,top100cap-btc-sma-90,top100cap-btc-ema-90,top100cap-btc-wma-90,price-btc-sma-90,price-btc-ema-90,price-btc-wma-90,bitcoin-price_raw_1d,bitcoin-price_raw_7d,bitcoin-price_raw_30d,bitcoin-price_raw_90d
2013-04-11,7673000,7673000,7577580,7136703,6164676,4377328,7660142,7503324,7133024,6358816,4902639,7673000,7649145,7361530,6765619,5134959,2180085742573.0,62986677705533.0,61109257991306.0,53954152826930.0,36140003890285.0,60884980460614.0,54504195308758.0,41029324032980.0,62571996343681.0,58282455579911.0,43763128342763.0,28545384259058.0,2.0370974062431e+26,0.493,4746.0,4449.0,1.629,508774849,654456853,717521830,1.247,54776,53099,56408,58962,19.653,19.438,19.576,19.53,46.649,59.859,65.564,92.446,94.679,112.503,75.989
2013-04-12,7673000,7673000,7673000,7206501,6274847,4426478,7666571,7545743,7205021,6443602,4963526,7673000,7673000,7433036,6862931,5207391,2284220826087.0,64682795559961.0,61439083798710.0,54950625608863.0,36637584644909.0,61258753696086.0,55096716884106.0,41527323059214.0,62915865908394.0,58910463766990.0,44368584954551.0,28885591087043.0,2.0859434311197e+26,0.505,4791.0,4431.0,1.67,518441394,662467523,728734302,1.248,54920,53802,56992,59760,19.675,19.446,19.589,19.545,47.521,60.575,66.571,98.435,106.7,111.738,81.5
2013-04-13,7673000,7673000,7673000,7276299,6375101,4475627,7669785,7577557,7267418,6522918,5023075,7673000,7673000,7495236,6953134,5278743,2383524573089.0,64837746499643.0,61782278732706.0,55725770086524.0,37109457916385.0,61479302713700.0,55600984912757.0,41997335109082.0,63112370912324.0,59424157039204.0,44946063782755.0,29197883149984.0,2.1312909511002e+26,0.518,4839.0,4415.0,1.706,528852702,671762409,741194598,1.246,54965,54245,56853,59826,19.696,19.456,19.601,19.561,48.46,61.407,67.69,91.849,114.48,112.241,84.999
2013-04-14,7673000,7673000,7673000,7346097,6469279,4524777,7671393,7601418,7321496,6597117,5081315,7673000,7673000,7548129,7036869,5349015,2477996983579.0,64684411716147.0,62288221277125.0,56365301454215.0,37534784253576.0,61500285173658.0,55990384025701.0,42428968868517.0,63092956569749.0,59805505495776.0,45485123414557.0,29497871637179.0,2.1753110778086e+26,0.53,4877.0,4388.0,1.738,538453760,679265397,751838459,1.251,55086,54223,56083,59225,19.721,19.466,19.613,19.576,49.325,62.076,68.643,87.108,114.295,108.635,88.095
2013-04-15,7673000,7673000,7673000,7415895,6563458,4573926,7672196,7619313,7368363,6666529,5138275,7673000,7673000,7591716,7114529,5418207,2567638057558.0,64491019249841.0,62037669432380.0,57066213968040.0,37976966029229.0,61566165324552.0,56377739011486.0,42858978042953.0,63053778573514.0,60168672260366.0,46022697086025.0,29756984964706.0,2.2136953854744e+26,0.542,4921.0,4348.0,1.769,547478560,685461322,761129145,1.259,55191,55075,56271,59533,19.754,19.479,19.63,19.596,50.138,62.627,69.473,75.043,113.535,104.575,88.156
2013-04-16,7673000,7673000,7673000,7485694,6657636,4623075,7672598,7632735,7408981,6731462,5193984,7673000,7673000,7625997,7186112,5486319,2652447795025.0,64911449594467.0,62481173667108.0,57776120065725.0,38512729544934.0,62431297439707.0,57131088506758.0,43412729210981.0,63856043474291.0,60877604016506.0,46683745221387.0,30164729405180.0,2.2747772502194e+26,0.554,4949.0,4314.0,1.795,554999586,688601898,767302309,1.258,55348,56172,56971,60310,19.791,19.494,19.649,19.619,50.814,62.899,70.021,77.734,120.78,107.0,89.295
2013-04-17,8038276,7794759,7725182,7581583,6763990,4676283,7855437,7734120,7492887,6815773,5256496,7855638,7764319,7699674,7275186,5561378,2758250272700.0,64546608750623.0,63008477266074.0,58438944183005.0,39031430337929.0,63127473505668.0,57809896856930.0,43945474018090.0,64545569376599.0,61514797427390.0,47324182328849.0,30543339359100.0,2.3322389480128e+26,0.566,4983.0,4268.0,1.818,562776132,692333979,773970705,1.264,55443,56859,57256,60646,19.825,19.507,19.665,19.639,51.513,63.225,70.612,94.679,134.8,110.492,89.925
2013-04-18,8974296,8228524,7911082,7744331,6901545,4739892,8414867,8044164,7690408,6955032,5338205,8445407,8076597,7885369,7417786,5655840,2936841391024.0,65441521961442.0,64214099833488.0,59328590569163.0,39623024055206.0,64330633182762.0,58735140355442.0,44565379448107.0,65764595218972.0,62399457227446.0,48052088718869.0,31020141288674.0,2.4056229139233e+26,0.578,5009.0,4235.0,1.839,572582902,700105515,784589665,1.263,55415,57129,57078,60494,19.862,19.52,19.682,19.659,52.395,63.917,71.561,106.7,139.74,112.815,88.775
2013-04-19,8974296,8662289,8096981,7884991,7039100,4803500,8694581,8276697,7861593,7085307,5418120,8818293,8342401,8049365,7551512,5748904,3107340479299.0,64903024476464.0,64792910018212.0,59835876327805.0,40042583555610.0,63742388402634.0,58811505321659.0,44902817203792.0,65191888218748.0,62437535083100.0,48498149670003.0,31085309360937.0,2.4157411451629e+26,0.59,5048.0,4214.0,1.857,583869469,710633514,797920359,1.263,55452,57952,57739,61152,19.895,19.534,19.698,19.679,53.41,64.857,72.755,114.48,132.945,112.905,86.483
2013-04-20,8974296,8974296,8282881,7977940,7176655,4867108,8834439,8451097,8009954,7207178,5496277,8974296,8561730,8194605,7676363,5840570,3269747537528.0,65167428975407.0,65002587737525.0,60239166812288.0,40521346983024.0,63878563658389.0,59195518063539.0,45339320184386.0,65187993925759.0,62755459372970.0,49041470972535.0,31265747259647.0,2.4438673792603e+26,0.601,5099.0,4191.0,1.873,596110754,722828326,812901194,1.265,55529,58095,57196,60595,19.934,19.549,19.717,19.701,54.512,65.948,74.097,114.295,126.316,113.2,83.838
