bitcoin-marketcap_raw,bitcoin-price_raw,bitcoin-median_transaction_fee_raw,bitcoin-hashrate_raw,difficulty-btc-std-30,mining_profitability-btc-sma-7,mining_profitability-btc-ema-14,marketcap-btc-ema-3,marketcap-btc-wma-3,price-btc-sma-3,price-btc-ema-3,price-btc-wma-3
1327690167,118.696,0.0593,90431457737529.0,1629444,5242.0,5336.0,1308244893,1313526421,116.887,116.996,117.456
1394322522,124.605,0.0623,95283232048976.0,1589209,5293.0,5370.0,1351283708,1357182380,119.995,120.8,121.315
1429774912,127.725,0.0639,95027092812990.0,1554366,5350.0,5401.0,1390529310,1400943325,123.675,124.262,125.18
1441785669,128.75,0.0644,99559840402907.0,1579043,5404.0,5389.0,1416157489,1429871559,127.026,126.506,127.717
1437885373,128.355,0.0642,104776522451930.0,1575075,5512.0,5397.0,1427021431,1437833728,128.276,127.431,128.382
1408976224,125.725,0.0629,96339507342859.0,1542242,5454.0,5375.0,1417998828,1424080848,127.61,126.578,127.106
1417376424,126.43,0.0632,100634321949710.0,1478621,5473.0,5370.0,1417687626,1417994515,126.837,126.504,126.516
1427042015,127.245,0.0636,103366950087420.0,1503711,5442.0,5396.0,1422364820,1420809186,126.466,126.874,126.72
1418400278,126.424,0.0632,110197290767220.0,1532907,5368.0,5353.0,1420382549,1421110214,126.699,126.649,126.698
1424396928,126.909,0.0647,116123605538450.0,1549228,5405.0,5421.0,1422389739,1422838893,126.859,126.779,126.803
1393928709,124.135,0.0621,127241095323390.0,1553082,5346.0,5352.0,1408159224,1408163377,125.822,125.457,125.441
1351834194,120.333,0.0602,124378099733740.0,1544561,5312.0,5333.0,1379996709,1377959488,123.792,122.895,122.696
1345191813,119.685,0.0598,125284058845920.0,1523457,5299.0,5307.0,1362594261,1355528756,121.384,121.29,120.643
1350445110,120.096,0.06,139033002270500.0,1651231,5111.0,5136.0,1356519685,1348925525,120.038,120.693,119.998
1343038626,119.388,0.0597,142389875060430.0,2178480,4863.0,4962.0,1349779156,1345866319,119.723,120.04,119.673
1294354363,115.014,0.0575,125201034232100.0,2548180,4672.0,4798.0,1322066759,1319930909,118.166,117.527,117.319
1244956010,110.585,0.0553,131832685235600.0,2822924,4382.0,4670.0,1283511384,1277769230,114.996,114.056,113.528
1193086083,105.935,0.053,135642267203860.0,3028666,4129.0,4465.0,1238298734,1227254105,110.511,109.996,108.998
1172377022,104.06,0.052,135862933180720.0,3178831,3864.0,4317.0,1205337878,1191376540,106.86,107.028,105.772
1200955863,106.555,0.0533,131333121773560.0,3301942,3657.0,4233.0,1203146870,1190117952,105.516,106.791,105.62
1218291874,108.05,0.054,150324551304890.0,3449419,3608.0,4159.0,1210719372,1204860728,106.221,107.421,106.887
1206375458,106.945,0.0535,154944785237290.0,3566600,3523.0,4037.0,1208547415,1209444331,107.183,107.183,107.248
1160717162,102.855,0.0514,137175999994310.0,3656398,3476.0,3952.0,1184632289,1185532379,105.95,105.019,105.084
1131770900,100.25,0.0501,137670921556020.0,3720798,3382.0,3848.0,1158201595,1153853747,103.35,102.634,102.234
1133390332,100.355,0.0502,146933281215580.0,3792079,3388.0,3759.0,1145795963,1137404993,101.153,101.495,100.737
1139396356,100.846,0.0504,158520121410000.0,4302806,3241.0,3568.0,1142596160,1136123439,100.483,101.17,100.583
1171599825,103.663,0.0518,144116537041820.0,4696563,3078.0,3432.0,1157097992,1154497087,101.621,102.416,102.172
1188259609,105.104,0.0526,121673246897650.0,5001056,2977.0,3370.0,1172678801,1174562472,103.204,103.76,103.914
1196782032,105.826,0.0529,143202406382950.0,5231893,2928.0,3307.0,1184730416,1189744190,104.864,104.793,105.225
1199972413,106.072,0.053,151756582481020.0,5398530,2866.0,3262.0,1192351415,1196956819,105.667,105.433,105.829
1173245774,103.671,0.0518,169050928692590.0,5506800,2803.0,3191.0,1182798594,1186077363,105.19,104.552,104.83
1151149677,101.679,0.0508,168343633783320.0,5560113,2707.0,3100.0,1166974136,1166652165,103.807,103.115,103.075
1115310402,98.478,0.0492,146867430420070.0,5585746,2737.0,3026.0,1141142269,1136912722,101.276,100.796,100.41
1101739007,97.247,0.0486,148905794989120.0,5626064,2743.0,2967.0,1121440638,1114497917,99.134,99.022,98.396
1110648942,98.0,0.049,168082785375540.0,5625447,2685.0,2913.0,1116044790,1108455873,97.908,98.511,97.828
1095202655,96.6,0.0483,153518774025820.0,5583881,2649.0,2877.0,1105623723,1101440809,97.282,97.555,97.174
1046178676,92.242,0.0461,166017555438830.0,5500436,2564.0,2810.0,1075901199,1073265047,95.613,94.898,94.654
1012995700,89.283,0.0446,165555822697160.0,5438446,2501.0,2741.0,1044448449,1037757851,92.708,92.09,91.488
1019570119,89.829,0.0449,175492775969890.0,5432833,2424.0,2639.0,1032009284,1021813406,90.451,90.959,90.049
971988436,85.608,0.0428,166290130280280.0,5357729,2352.0,2558.0,1001998860,994683541,88.239,88.283,87.627
945025648,83.204,0.0416,166527612147460.0,5210128,2258.0,2474.0,973512254,966437322,86.213,85.744,85.109
925114289,81.424,0.0407,178856205853860.0,4983594,2193.0,2425.0,949313272,939563766,83.412,83.584,82.714
891815995,78.461,0.0392,186565594700210.0,4666646,2065.0,2334.0,920564633,911783702,81.029,81.022,80.239
830233039,73.017,0.0365,186846154803390.0,4465205,1987.0,2267.0,875398836,866574233,77.634,77.019,76.232
750758929,66.0,0.033,189091057145940.0,4459405,1894.0,2184.0,813078883,800759810,72.492,71.51,70.416
793747458,69.751,0.0349,207052622059040.0,4420714,1837.0,2102.0,803413170,785498878,69.589,70.63,69.045
837315670,73.549,0.0368,199123851190890.0,4348254,1801.0,2060.0,820364420,808366809,69.766,72.09,71.025
825647341,72.494,0.0362,204281187072220.0,4240294,1762.0,2006.0,823005880,824220137,71.931,72.292,72.388
865804252,75.989,0.038,196819619377060.0,4094027,1731.0,1991.0,844405066,847670518,74.01,74.14,74.417
928993264,81.5,0.0407,240595812101000.0,4522294,1694.0,1923.0,886699165,890705940,76.66,77.82,78.161
969252972,84.999,0.0425,227617912327730.0,4821899,1640.0,1860.0,927976068,938591616,80.829,81.409,82.331
1004896167,88.095,0.044,190596874831100.0,5005954,1667.0,1856.0,966436118,980364618,84.864,84.752,85.964
1005938004,88.156,0.0441,220188809167950.0,5087015,1689.0,1839.0,986187061,999476553,87.083,86.454,87.609
1019318970,89.295,0.0446,216848056980900.0,5070025,1677.0,1820.0,1002753016,1012454848,88.515,87.875,88.715
1026879230,89.925,0.045,219669524659830.0,5006246,1683.0,1803.0,1014816123,1020868939,89.125,88.9,89.42
1014111029,88.775,0.0444,216260759615540.0,5215479,1684.0,1817.0,1014463576,1019235086,89.332,88.837,89.245
