top100cap-btc_raw,difficulty-btc-sma-30,difficulty-btc-sma-90,difficulty-btc-ema-14,difficulty-btc-ema-30,difficulty-btc-ema-90,difficulty-btc-wma-14,difficulty-btc-wma-30,difficulty-btc-wma-90,hashrate-btc-sma-3,hashrate-btc-sma-7,hashrate-btc-sma-14,hashrate-btc-sma-30,hashrate-btc-sma-90,hashrate-btc-ema-3,hashrate-btc-ema-7,hashrate-btc-ema-14,hashrate-btc-ema-30,hashrate-btc-ema-90,hashrate-btc-wma-3,hashrate-btc-wma-7,hashrate-btc-wma-14,hashrate-btc-wma-30,hashrate-btc-wma-90,hashrate-btc-std-14,hashrate-btc-std-30,hashrate-btc-std-90,hashrate-btc-var-14,hashrate-btc-var-30,hashrate-btc-var-90,hashrate-btc-trx-90,mining_profitability-btc-sma-90,mining_profitability-btc-std-90,sentinusd-btc-sma-90,marketcap-btc-sma-90,marketcap-btc-ema-90,marketcap-btc-wma-90,mediantransactionvalue-btc-trx-90,fee_to_reward-btc-sma-90,fee_to_reward-btc-trx-90,transactions-btc-sma-90,sentbyaddress-btc-sma-30,sentbyaddress-btc-sma-90,sentbyaddress-btc-ema-30,sentbyaddress-btc-wma-30,top100cap-btc-sma-30,top100cap-btc-sma-90,top100cap-btc-ema-30,top100cap-btc-ema-90,top100cap-btc-wma-90,top100cap-btc-std-90
20.19,6164676,4377328,7133024,6358816,4902639,7361530,6765619,5134959,67068308741765.0,62986677705533.0,61109257991306.0,53954152826930.0,36140003890285.0,66376937399976.0,64137235862668.0,60884980460614.0,54504195308758.0,41029324032980.0,67197497880486.0,65178541237577.0,62571996343681.0,58282455579911.0,43763128342763.0,9663219377109.0,17638256207232.0,28545384259058.0,2.3344452182536e+25,7.7777020507993e+25,2.0370974062431e+26,0.493,4746.0,4449.0,74349257,508774849,654456853,717521830,0.568,1.247,0.664,54776,53099,43273,56408,58962,19.653,19.438,19.705,19.576,19.53,0.448
20.136,6274847,4426478,7205021,6443602,4963526,7433036,6862931,5207391,66593854058705.0,64682795559961.0,61439083798710.0,54950625608863.0,36637584644909.0,65032608563315.0,64024996828665.0,61258753696086.0,55096716884106.0,41527323059214.0,65507483372931.0,65353941742857.0,62915865908394.0,58910463766990.0,44368584954551.0,9677588973797.0,16296614049767.0,28885591087043.0,2.3413932086439e+25,6.6394907371765e+25,2.0859434311197e+26,0.505,4791.0,4431.0,75753638,518441394,662467523,728734302,0.621,1.248,0.657,54920,53802,43613,56992,59760,19.675,19.446,19.733,19.589,19.545,0.471
20.138,6375101,4475627,7267418,6522918,5023075,7495236,6953134,5278743,64162643220993.0,64837746499643.0,61782278732706.0,55725770086524.0,37109457916385.0,63972739945752.0,63746965453545.0,61479302713700.0,55600984912757.0,41997335109082.0,63666992007672.0,64911460684914.0,63112370912324.0,59424157039204.0,44946063782755.0,9520248625628.0,15506433654622.0,29197883149984.0,2.2658783473441e+25,6.0112371171297e+25,2.1312909511002e+26,0.518,4839.0,4415.0,76726062,528852702,671762409,741194598,0.671,1.246,0.649,54965,54245,43791,56853,59826,19.696,19.456,19.759,19.601,19.561,0.491
20.149,6469279,4524777,7321496,6597117,5081315,7548129,7036869,5349015,62745940739411.0,64684411716147.0,62288221277125.0,56365301454215.0,37534784253576.0,62804705554571.0,63219391881007.0,61500285173658.0,55990384025701.0,42428968868517.0,62404005978871.0,64111191850851.0,63092956569749.0,59805505495776.0,45485123414557.0,8642170438363.0,14831557300994.0,29497871637179.0,1.8671777471429e+25,5.4993772993164e+25,2.1753110778086e+26,0.53,4877.0,4388.0,77237603,538453760,679265397,751838459,0.717,1.251,0.642,55086,54223,43937,56083,59225,19.721,19.466,19.784,19.613,19.576,0.51
20.385,6563458,4573926,7368363,6666529,5138275,7591716,7114529,5418207,62181309598980.0,64491019249841.0,62037669432380.0,57066213968040.0,37976966029229.0,62399545929966.0,62913140487095.0,61566165324552.0,56377739011486.0,42858978042953.0,62028228761846.0,63438685498154.0,63053778573514.0,60168672260366.0,46022697086025.0,8456329193286.0,13806539915148.0,29756984964706.0,1.7877375856304e+25,4.7655136107145e+25,2.2136953854744e+26,0.542,4921.0,4348.0,77785369,547478560,685461322,761129145,0.761,1.259,0.635,55191,55075,44122,56271,59533,19.754,19.479,19.823,19.63,19.596,0.542
20.518,6657636,4623075,7408981,6731462,5193984,7625997,7186112,5486319,63895237885654.0,64911449594467.0,62481173667108.0,57776120065725.0,38512729544934.0,65227101059088.0,64198519412374.0,62431297439707.0,57131088506758.0,43412729210981.0,64964902056461.0,64329594732747.0,63856043474291.0,60877604016506.0,46683745221387.0,9003122564089.0,13803433440421.0,30164729405180.0,2.0264053976004e+25,4.7633693686032e+25,2.2747772502194e+26,0.554,4949.0,4314.0,78822824,554999586,688601898,767302309,0.801,1.258,0.628,55348,56172,44383,56971,60310,19.791,19.494,19.868,19.649,19.619,0.582
20.389,6763990,4676283,7492887,6815773,5256496,7699674,7275186,5561378,65900553475997.0,64546608750623.0,63008477266074.0,58438944183005.0,39031430337929.0,66439859496754.0,65062044042885.0,63127473505668.0,57809896856930.0,43945474018090.0,66843592080844.0,65014886817735.0,64545569376599.0,61514797427390.0,47324182328849.0,9283783720397.0,13726914514982.0,30543339359100.0,2.1547160041776e+25,4.7107045525407e+25,2.3322389480128e+26,0.566,4983.0,4268.0,79929025,562776132,692333979,773970705,0.838,1.264,0.622,55443,56859,44613,57256,60646,19.825,19.507,19.901,19.665,19.639,0.608
20.427,6901545,4739892,7690408,6955032,5338205,7885369,7417786,5655840,69286148402167.0,65441521961442.0,64214099833488.0,59328590569163.0,39623024055206.0,69295515290313.0,66834325803132.0,64330633182762.0,58735140355442.0,44565379448107.0,69968900884781.0,66916027401047.0,65764595218972.0,62399457227446.0,48052088718869.0,9335855483737.0,13706862555370.0,31020141288674.0,2.1789549403306e+25,4.696952027795e+25,2.4056229139233e+26,0.578,5009.0,4235.0,85757610,572582902,700105515,784589665,0.875,1.263,0.616,55415,57129,44766,57078,60494,19.862,19.52,19.935,19.682,19.659,0.634
20.424,7039100,4803500,7861593,7085307,5418120,8049365,7551512,5748904,66574195450032.0,64903024476464.0,64792910018212.0,59835876327805.0,40042583555610.0,64607156311058.0,65105443685300.0,63742388402634.0,58811505321659.0,44902817203792.0,65285225349600.0,65535346243637.0,65191888218748.0,62437535083100.0,48498149670003.0,6867867583257.0,12584247801134.0,31085309360937.0,1.1791901285289e+25,3.9590823180089e+25,2.4157411451629e+26,0.59,5048.0,4214.0,87640254,583869469,710633514,797920359,0.909,1.263,0.61,55452,57952,45122,57739,61152,19.895,19.534,19.967,19.698,19.679,0.658
20.546,7176655,4867108,8009954,7207178,5496277,8194605,7676363,5840570,65611223745490.0,65167428975407.0,65002587737525.0,60239166812288.0,40521346983024.0,64685429565926.0,65020008469174.0,63878563658389.0,59195518063539.0,45339320184386.0,64379979034981.0,65500515829720.0,65187993925759.0,62755459372970.0,49041470972535.0,6669387347744.0,12413472453200.0,31265747259647.0,1.1120181898562e+25,3.8523574586589e+25,2.4438673792603e+26,0.601,5099.0,4191.0,88638558,596110754,722828326,812901194,0.941,1.265,0.604,55529,58095,45304,57196,60595,19.934,19.549,20.004,19.717,19.701,0.688
20.52,7314210,4930717,8138533,7321185,5572717,8327453,7792340,5930837,67087776862092.0,67302308871163.0,65993360293655.0,60968235219997.0,41118194853750.0,70633129999802.0,67910213960300.0,65572199228427.0,60317151119677.0,46025946783271.0,69864782379075.0,68353866194288.0,66731759618579.0,63809760251770.0,49833987092330.0,8795120977447.0,13546098021411.0,31938321690919.0,1.9338538251981e+25,4.5874192901418e+25,2.5501409810816e+26,0.613,5147.0,4161.0,89601510,608275600,734719723,827577593,0.97,1.263,0.597,55570,57937,45467,56472,59813,19.973,19.564,20.037,19.735,19.722,0.713
20.518,7451765,4994325,8249968,7427838,5647477,8447907,7899442,6019707,71285950736681.0,68805013535478.0,66648016392660.0,61639328267843.0,41682636384017.0,71573224477686.0,69060990209117.0,66497681858713.0,61104000657476.0,46608086831014.0,72577553425814.0,69656618715389.0,67601087440168.0,64554604363742.0,50523989819842.0,9262090593183.0,13770766357760.0,32339662703921.0,2.1446580539081e+25,4.7408501520006e+25,2.6146344595084e+26,0.624,5183.0,4135.0,91302536,620254784,746176043,841812905,0.998,1.266,0.59,55608,58306,45666,56314,59560,20.012,19.578,20.068,19.752,19.743,0.736
20.52,7564873,5058627,8346545,7527609,5720594,8555968,7997670,6107179,74013014103944.0,69503618783246.0,67207534188856.0,62062037608891.0,42253491950516.0,72259058700134.0,70031965887484.0,67357310000562.0,61867929190709.0,47186917734126.0,73407024518765.0,70691588562166.0,68440670977491.0,65283995631790.0,51211072381129.0,9756455715691.0,14342560202904.0,32710927177535.0,2.3797107033062e+25,5.1427258293482e+25,2.675011892035e+26,0.635,5234.0,4114.0,92896182,633083834,759152350,857556712,1.024,1.267,0.584,55775,58773,45985,56771,59889,20.05,19.592,20.098,19.769,19.764,0.759
20.311,7640822,5125355,8430245,7620944,5792104,8651635,8088601,6193238,73225858227009.0,70441725193025.0,67494166971824.0,62799196553838.0,42842329461695.0,73239210751505.0,71078815116332.0,68272250374204.0,62664795875365.0,47781037405966.0,73510198868231.0,71870524567073.0,69375581459360.0,66068339192692.0,51913618993269.0,10312006913815.0,14492138242048.0,33081366474090.0,2.6584371647643e+25,5.2505517706657e+25,2.7359420194826e+26,0.647,5282.0,4117.0,95318799,647652576,775265813,876440912,1.047,1.271,0.577,55983,59377,46269,57197,60185,20.079,19.605,20.111,19.781,19.78,0.769
20.382,7716771,5192083,8502785,7708257,5862042,8734910,8174631,6277830,72842428246725.0,70329133468860.0,67885327715151.0,63503455441715.0,43396241944841.0,72301119883111.0,71149868590928.0,68684354192939.0,63225972206936.0,48299322935829.0,72578784262085.0,72100850522496.0,69891429731746.0,66620844512749.0,52540447554874.0,10452935405119.0,14027463055111.0,33302829454661.0,2.7315964645895e+25,4.9192429940623e+25,2.7726961242155e+26,0.658,5347.0,4136.0,97479225,662848016,792239522,896219307,1.07,1.273,0.571,56139,59844,46554,57549,60397,20.105,19.618,20.129,19.794,19.797,0.781
20.42,7792720,5258811,8565653,7789937,5930443,8805791,8255762,6360955,74914544431055.0,73078054060827.0,68990539268645.0,64618876885426.0,44044234458725.0,75731180679342.0,73152711812089.0,70081272497290.0,64254054095235.0,48977606859779.0,75738190876509.0,74308877524174.0,71394884899802.0,67631024256869.0,53326491500604.0,11647852386545.0,13498648174868.0,33788171611319.0,3.3918116304684e+25,4.5553375637217e+25,2.8541013520898e+26,0.669,5391.0,4131.0,98885514,677172306,807198731,914022285,1.091,1.27,0.565,56171,60101,46770,57605,60305,20.13,19.63,20.148,19.808,19.814,0.797
20.167,7868669,5325539,8620139,7866347,5997341,8864278,8331993,6442615,74490164746016.0,74246985621822.0,69707207298615.0,65267722170458.0,44602209930364.0,74338702213550.0,73101089796006.0,70463265997353.0,64814839234108.0,49504389648526.0,74754030534860.0,74275919945907.0,71922309497017.0,68168272441535.0,53961700056407.0,11293138719176.0,13161867468253.0,34019506425942.0,3.1883745532636e+25,4.3308688812965e+25,2.8933170436618e+26,0.68,5430.0,4103.0,99679332,690671853,820227040,929908318,1.111,1.268,0.558,56049,59765,46851,56868,59407,20.145,19.639,20.149,19.816,19.826,0.803
20.183,7944618,5392267,8667360,7937828,6062769,8910373,8403323,6522807,74416728667853.0,73470112814186.0,70386210842675.0,65670122249032.0,45142943540579.0,72740711496889.0,72611497542062.0,70553859968403.0,65223089656438.0,49979957365706.0,73080308551966.0,73499853735508.0,72113711294565.0,68547304609908.0,54545007987173.0,10376414760999.0,13117497946945.0,34142445646268.0,2.6917495823071e+25,4.3017188097023e+25,2.9142664867709e+26,0.69,5484.0,4097.0,100074880,703845028,832425846,944954491,1.128,1.263,0.55,55934,59360,46937,56122,58474,20.156,19.648,20.151,19.824,19.838,0.809
