bitcoin-marketcap_raw,bitcoin-price_raw,difficulty-btc-ema-3,difficulty-btc-ema-90,difficulty-btc-wma-14,difficulty-btc-wma-90,hashrate-btc-sma-90,hashrate-btc-wma-30,hashrate-btc-std-90,hashrate-btc-var-90,mining_profitability-btc-sma-90,transactionfees-btc-trx-90,confirmationtime-btc-sma-30,confirmationtime-btc-ema-90,confirmationtime-btc-wma-90,marketcap-btc-sma-3,marketcap-btc-sma-30,marketcap-btc-sma-90,marketcap-btc-ema-3,marketcap-btc-ema-14,marketcap-btc-ema-30,marketcap-btc-ema-90,marketcap-btc-wma-3,marketcap-btc-wma-7,marketcap-btc-wma-14,marketcap-btc-wma-90,transactionvalue-btc-trx-30,mediantransactionvalue-btc-trx-90,size-btc-sma-90,transactions-btc-sma-30,transactions-btc-ema-30,transactions-btc-ema-90,transactions-btc-wma-30,transactions-btc-wma-90,sentbyaddress-btc-sma-30,sentbyaddress-btc-sma-90,sentbyaddress-btc-ema-90,sentbyaddress-btc-wma-90,sentbyaddress-btc-trx-90,top100cap-btc-ema-90,top100cap-btc-wma-90,activeaddresses-btc-sma-90,price-btc-sma-3,price-btc-sma-7,price-btc-sma-30,price-btc-sma-90,price-btc-ema-3,price-btc-ema-14,price-btc-ema-30,price-btc-ema-90,price-btc-wma-3,price-btc-wma-7,price-btc-wma-30,price-btc-wma-90
1245142400,111.738,10188550,7118956,10091550,7787434,53813378541951.0,78449070112982.0,37521602300831.0,3.5196765980543e+26,5857.0,1.849,8.965,8.9,8.726,1243037307,1238203835,866482800,1241852954,1257086191,1238875291,947858234,1245425330,1235209351,1239121111,1094602668,0.461,1.199,163870,55197,57052,54613,56314,56199,53821,48695,49552,52694,0.407,19.902,19.968,74735,111.593,110.882,111.686,78.712,111.486,113.086,111.721,85.888,111.793,110.932,114.828,99.114
1251224545,112.241,10687904,7208370,10250145,7891250,54611934467403.0,79802603217398.0,37978271312465.0,3.605872729708e+26,5875.0,1.834,8.953,8.887,8.717,1249840735,1243731825,877500963,1246538749,1256304639,1239672017,954525625,1249518949,1239470067,1236764648,1103058531,0.347,1.193,163606,55446,57295,54750,56677,56298,53733,48849,49610,52771,0.406,19.904,19.973,75078,112.16,110.773,112.146,79.691,111.863,112.974,111.755,86.468,112.117,111.272,114.864,99.851
1211498644,108.635,10937581,7295818,10387665,7993135,55345936186520.0,80785440127951.0,38200083483960.0,3.6481159454538e+26,5880.0,1.818,8.951,8.897,8.733,1235955196,1250343501,888059440,1229018697,1250330506,1237854380,960173384,1230347904,1233983719,1230986226,1110399139,0.237,1.186,164089,55813,57877,55004,57378,56518,54100,49048,49749,52926,0.405,19.907,19.978,75418,110.871,110.524,112.706,80.629,110.249,112.395,111.553,86.955,110.354,110.737,114.638,100.487
1166624096,104.575,11062419,7381344,10512491,8093088,55955531752566.0,81114893781867.0,38113917484253.0,3.6316767649912e+26,5891.0,1.802,8.999,8.926,8.768,1209782428,1257191637,898008902,1197821396,1239169651,1233258878,964710762,1195682353,1217854182,1221895710,1116521439,0.13,1.178,164757,56136,58274,55202,57908,56686,54003,49273,49888,53081,0.404,19.91,19.984,75788,108.484,109.807,113.288,81.511,107.412,111.353,111.103,87.342,107.206,109.25,114.113,101.013
1194054232,107.0,11124838,7464990,10626737,8191109,56555177763615.0,81362591173730.0,37980615473231.0,3.6063178793136e+26,5897.0,1.786,9.052,8.943,8.792,1190725657,1269381529,908118413,1195937814,1233154262,1230729546,969751278,1187818255,1210466699,1218529664,1123027930,0.027,1.169,165370,55916,58451,55330,58223,56784,53604,49484,50004,53211,0.404,19.915,19.992,76166,106.737,109.604,114.353,82.407,107.206,110.772,110.839,87.774,106.464,108.548,113.707,101.574
1233426044,110.492,11156048,7546798,10730402,8287197,57176960386944.0,81908548548893.0,38068090431891.0,3.6229487728265e+26,5909.0,1.77,9.069,8.943,8.798,1198034791,1281882010,918642510,1214681929,1233190500,1230903513,975546328,1209168449,1213376302,1220784057,1130177548,-0.068,1.161,165915,55984,58458,55401,58394,56828,53247,49684,50018,53236,0.402,19.919,20.0,76514,107.355,109.597,115.445,83.34,108.849,110.735,110.816,88.273,108.342,108.77,113.458,102.191
1259817553,112.815,11171653,7626808,10823486,8381354,57738795906570.0,82117832509431.0,37999692038673.0,3.609941487585e+26,5922.0,1.753,9.065,8.959,8.82,1229099277,1289011300,929458332,1237249741,1236740773,1232768935,981794047,1240059830,1222790504,1225672993,1137675901,-0.156,1.152,166376,56170,58046,55328,58141,56726,52917,49807,49900,53125,0.401,19.924,20.007,76767,110.102,109.642,116.05,84.298,110.832,111.012,110.945,88.813,111.071,109.574,113.289,102.839
1261243165,112.905,11179455,7705060,10905989,8473578,58382430655493.0,82870143650727.0,38221947556578.0,3.6522931875445e+26,5939.0,1.736,9.022,8.965,8.831,1251495587,1291748423,940290946,1249246453,1240007759,1234605982,987935786,1256131774,1232323169,1229867891,1144967875,-0.243,1.142,166348,55779,57376,55159,57593,56527,52064,49875,49720,52948,0.399,19.927,20.013,76956,112.07,109.809,116.257,85.258,111.868,111.265,111.072,89.342,112.473,110.39,113.086,103.467
1264974454,113.2,11183356,7781592,10977912,8563960,58937732197439.0,82816270041219.0,37940976034951.0,3.5987941562118e+26,5949.0,1.718,9.083,9.014,8.885,1262011724,1291730990,951023641,1257110453,1243336652,1236565239,994024548,1262871207,1242213630,1234558198,1152103777,-0.326,1.132,166576,55797,56816,55017,57135,56351,51976,49987,49653,52877,0.397,19.931,20.019,77204,112.973,109.946,116.214,86.208,112.534,111.523,111.209,89.867,113.037,111.238,112.888,104.081
1288595268,115.28,11185307,7856442,11039255,8652501,59460671350345.0,82693634787032.0,37692243439967.0,3.5517630388444e+26,5961.0,1.701,9.128,9.025,8.903,1271604296,1292554602,961867899,1272852861,1249371134,1239922015,1000498630,1276162980,1257518226,1242316173,1159522933,-0.403,1.123,166849,56122,56621,54990,57006,56289,52270,50189,49766,52983,0.395,19.935,20.025,77557,113.795,110.895,116.247,87.167,113.907,112.024,111.471,90.425,114.191,112.571,112.828,104.72
